MET2013,ai_exposure_wtd_avg,perwt_with_score,n_workers,perwt_total_all,perwt_coverage_pct,n_workers_all,n_coverage_pct
41140,-0.31913928171588396,45659.0,2735,49739.0,91.8,2977,91.87
23580,-0.3198237706258053,76041.0,4039,84149.0,90.36,4474,90.28
11500,-0.3202131664463065,41535.0,1761,45829.0,90.63,1947,90.45
34740,-0.32035314921795455,61918.0,2777,68816.0,89.98,3071,90.43
25260,-0.32075118929704577,46739.0,2153,51509.0,90.74,2425,88.78
25060,-0.3213487678210582,134769.0,5334,152083.0,88.62,6068,87.9
26380,-0.3231931122112614,85358.0,3490,94787.0,90.05,3895,89.6
11100,-0.32444462247698624,103574.0,5649,113262.0,91.45,6185,91.33
42680,-0.3259419587277285,52329.0,1988,56919.0,91.94,2168,91.7
29460,-0.32622289840807633,249239.0,12567,272147.0,91.58,13813,90.98
40140,-0.327829083601762,1722925.0,74150,1901151.0,90.63,82125,90.29
29820,-0.33031593580486307,919803.0,41488,998218.0,92.14,45144,91.9
18580,-0.3317864791600446,190851.0,9157,209814.0,90.96,10132,90.38
48660,-0.33402069449795135,49166.0,2733,57839.0,85.0,3144,86.93
39380,-0.33741577489477026,57639.0,3066,63585.0,90.65,3393,90.36
27900,-0.3392203048921643,70568.0,3537,77086.0,91.54,3880,91.16
48300,-0.3395475637784115,44739.0,2131,47854.0,93.49,2296,92.81
39140,-0.3397421635361254,75827.0,2904,82664.0,91.73,3207,90.55
30140,-0.3407651211390388,57461.0,2555,63094.0,91.07,2831,90.25
49660,-0.343807494926124,204937.0,11279,225710.0,90.8,12443,90.65
40580,-0.34577153833089547,55021.0,2361,60476.0,90.98,2626,89.91
27780,-0.3459269120276881,48730.0,4126,54248.0,89.83,4604,89.62
44700,-0.3493367198363831,271845.0,12225,298349.0,91.12,13447,90.91
13140,-0.3500741500363079,142070.0,6863,154883.0,91.73,7532,91.12
12540,-0.35249126916599666,284216.0,10835,314779.0,90.29,12038,90.01
12100,-0.35286836348777845,109451.0,5027,119739.0,91.41,5521,91.05
41500,-0.35597884492332604,171205.0,8556,188757.0,90.7,9578,89.33
49700,-0.3560691060307861,60622.0,3041,66750.0,90.82,3368,90.29
25860,-0.35864704041390183,155495.0,7038,170313.0,91.3,7700,91.4
24140,-0.36320482241922347,45976.0,1907,51000.0,90.15,2133,89.4
36100,-0.3637693101389062,111187.0,4340,123299.0,90.18,4803,90.36
39460,-0.3673002768431118,54027.0,2452,59183.0,91.29,2684,91.36
31460,-0.3673963410669219,45335.0,1788,49861.0,90.92,1966,90.95
26140,-0.3683808341295957,41616.0,1771,45385.0,91.7,1942,91.19
31900,-0.37352674005593056,42697.0,2015,47220.0,90.42,2234,90.2
29700,-0.37543390978739877,97582.0,4758,105858.0,92.18,5187,91.73
34820,-0.3803589372671047,175145.0,8025,191632.0,91.4,8787,91.33
28100,-0.3806357536092247,42501.0,2487,46472.0,91.46,2724,91.3
33140,-0.3822026695341801,40629.0,2259,44578.0,91.14,2480,91.09
34940,-0.3858259476186479,131039.0,5487,141482.0,92.62,5971,91.89
30620,-0.38844643025773606,39368.0,2248,42759.0,92.07,2453,91.64
49740,-0.3913680434511311,66618.0,2907,73642.0,90.46,3229,90.03
33700,-0.3938183438637957,198932.0,8406,219832.0,90.49,9310,90.29
47300,-0.4073451106561672,142532.0,6386,157046.0,90.76,7064,90.4
23460,-0.4076440264708713,36123.0,1654,39476.0,91.51,1822,90.78
36220,-0.40946922418921183,63603.0,2374,70416.0,90.32,2672,88.85
29420,-0.41440687883859556,71353.0,3035,77880.0,91.62,3316,91.53
32580,-0.42759548632522515,293018.0,10196,318252.0,92.07,11133,91.58
15180,-0.4480732573897952,143898.0,6558,155492.0,92.54,7145,91.78
20940,-0.4563381647530661,52551.0,1993,59091.0,88.93,2232,89.29
32900,-0.45782128460374816,90049.0,3820,99416.0,90.58,4224,90.44
49420,-0.46459553356669564,83435.0,3831,90323.0,92.37,4148,92.36
